Index Number,Stop Number,Common Stop Name,Street Name,Town Name,Latitude,Longitude
IE17137,8530TR000050,Ink Niteclub,Lower Main Street,Ink Niteclub,54.9487,-7.738
IE17138,8530TR000049,The Brewery Restaurant,Market Square,The Brewery Restaurant,54.9497,-7.7377
IE17139,8530TR000043,Dom's Pier One Restaurant,Quay Street,Dom's Pier One Restaurant,54.6526,-8.1115
IE17140,8530TR000042,Donegal,The Diamond,Abbey Hotel,54.6539,-8.1105
IE17141,8530TR000053,Harry Corry Store,Letterkenny Retail Park,Harry Corry Store,54.9456,-7.7365
IE17142,8530TR000054,Gormley Opticians,Lower Main Street,Gormley Opticians,54.7999,-7.7797
IE17143,853000274,Sockar Road,,Sockar Road,54.9854,-7.8552
IE17144,11254,Culdaff,,Culdaff,55.2872,-7.1675
IE17145,635833,Ballybofey,Main Street,Ballybofey,54.8001,-7.7788
IE17146,11252,Muff,,The Squealin' Pig Muff,55.068,-7.2691
IE17147,853000113,Ballybofey,,Main Street,54.8,-7.7789
IE17148,853000144,Burtonport,,Burtonport,54.9841,-8.4274
IE17149,853000145,R259,,Burtonport,54.984,-8.4274
IE17150,12389,An Céideadh,,Keadue,54.9972,-8.4186
IE17151,853000150,R259,,Mullaghduff,55.0252,-8.3344
IE17152,853000159,Tamney,,Tamney,55.1987,-7.6914
IE17153,853000180,Charley's Café,,Charley's Café,54.9478,-7.7355
IE17154,853000184,Greencastle,,Greencastle Ferry,55.2034,-6.9836
IE17155,8530BE500040,Ballyshannon Bus Station Rear Bay,,Ballyshannon,54.5009,-8.1894
IE17156,8530BE600008,Ballyshannon Bus Station Entrance,Main Street,Ballyshannon,54.5009,-8.1896
IE17157,8530BE500029,Stranorlar Depot Bay 1,,Stranorlar,54.8015,-7.7744
IE17158,8530BE500030,Stranorlar Depot Bay 2,,Stranorlar,54.8015,-7.7745
IE17159,8530BE500031,Stranorlar Depot Bay 3,,Stranorlar,54.8015,-7.7745
IE17160,8530BE500034,Stranorlar Depot Bay 6,,Stranorlar,54.8014,-7.7746
IE17161,8530BE500033,Stranorlar Depot Bay 5,,Stranorlar,54.8014,-7.7746
IE17162,8530BE500039,Stranorlar Depot Bay 11,,Stranorlar,54.8013,-7.7748
IE17163,8530BE500036,Stranorlar Depot Bay 8,,Stranorlar,54.8014,-7.7747
IE17164,8530BE500035,Stranorlar Depot Bay 7,,Stranorlar,54.8014,-7.7747
IE17165,8530BE500037,Stranorlar Depot Bay 9,,Stranorlar,54.8014,-7.7748
IE17166,8530BE500038,Stranorlar Depot Bay 10,,Stranorlar,54.8013,-7.7748
IE17167,8530BE600007,Stranorlar Depot Entrance,Main Street,Stranorlar,54.8017,-7.7736
IE17168,8530BE500032,Stranorlar Depot Bay 4,,Stranorlar,54.8015,-7.7746
